t,x,y,buttonDown,event
0.203,841,290,False,
15.767,828,290,False,
31.843,817,290,False,
47.921,809,290,False,
63.454,799,290,False,
79.496,791,290,False,
95.576,784,288,False,
111.246,774,286,False,
127.344,763,281,False,
143.342,752,278,False,
159.783,744,276,False,
175.981,739,274,False,
191.325,734,274,False,
207.036,728,274,False,
222.373,717,274,False,
238.341,705,274,False,
253.986,686,274,False,
269.896,662,273,False,
282.378,635,268,False,
298.027,607,263,False,
314.171,582,260,False,
330.142,555,253,False,
346.127,529,245,False,
362.13,509,241,False,
378.13,494,238,False,
394.26,481,236,False,
410.137,468,236,False,
426.144,458,235,False,
442.127,447,234,False,
458.377,436,233,False,
474.058,422,231,False,
490.144,407,229,False,
506.198,391,226,False,
522.047,374,224,False,
538.143,361,223,False,
554.058,352,221,False,
570.077,346,220,False,
585.959,341,220,False,
602.026,334,220,False,
618.272,327,220,False,
633.949,317,220,False,
650.019,309,220,False,
666.034,301,220,False,
682.014,295,220,False,
698.01,289,220,False,
714.025,286,220,False,
730.016,281,222,False,
746.327,275,223,False,
761.758,270,224,False,
777.449,261,226,False,
793.6,252,227,False,
809.728,242,228,False,
825.926,234,230,False,
842.05,231,231,False,
857.565,231,231,False,
873.826,231,231,False,
889.749,231,231,False,
905.726,231,231,False,
921.954,231,231,False,
937.906,232,231,False,
953.86,233,232,False,
969.781,235,232,False,
986.432,239,234,False,
1002.115,241,234,False,
1018.083,243,234,False,
1034.177,247,235,False,
1050.127,248,235,False,
1066.187,253,235,False,
1082.123,255,235,False,
1098.107,256,235,False,
1113.63,256,235,False,
1129.446,257,235,False,
1145.419,258,235,False,
1161.418,258,235,False,
1177.208,258,235,False,
1193.179,258,235,False,
1209.026,258,235,False,
1224.816,258,235,False,
1240.625,258,235,False,
1257.125,258,235,False,
1272.773,260,236,False,
1282.867,261,236,False,
1298.136,261,236,False,
1321.097,261,236,False,
1337.365,261,236,True,left_down
1353.647,261,236,True,
1369.522,261,236,True,
1385.616,261,236,True,
