t,x,y,buttonDown,event
0.17,321,304,False,
15.996,316,297,False,
32.063,312,290,False,
47.983,306,283,False,
63.944,301,275,False,
80.128,296,267,False,
95.918,292,259,False,
111.873,289,255,False,
127.883,287,252,False,
143.88,286,250,False,
159.816,285,249,False,
175.987,285,247,False,
192.074,284,246,False,
208.403,283,245,False,
231.474,282,244,False,
247.361,282,243,False,
263.194,282,241,False,
278.353,280,240,False,
294.064,280,240,False,
304.206,280,239,False,
319.813,280,238,False,
335.87,280,237,False,
357.737,279,236,False,
373.665,279,235,False,
389.566,279,235,False,
405.572,279,235,False,
421.508,279,235,False,
437.443,279,235,False,
453.23,279,235,False,
469.492,279,235,False,
485.482,279,235,False,
501.69,279,235,False,
517.66,279,235,False,
534.02,279,235,False,
550.057,279,235,False,
565.916,279,235,False,
581.768,279,235,False,
597.584,279,235,False,
613.611,279,235,False,
629.448,279,235,False,
645.318,279,235,False,
661.004,279,235,False,
677.003,279,235,False,
693.067,279,235,False,
711.943,279,235,False,
725.09,279,235,False,
741.588,279,235,False,
757.612,279,235,False,
773.619,279,235,False,
789.781,279,235,False,
805.625,279,235,False,
821.678,279,235,False,
837.591,279,235,False,
853.723,279,235,False,
869.703,279,235,False,
885.761,279,235,False,
901.462,279,235,False,
917.417,279,235,False,
933.528,279,235,False,
949.479,279,235,False,
965.45,279,235,False,
981.502,279,235,False,
997.298,279,235,False,
1013.463,279,235,False,
1029.428,279,235,False,
1045.467,279,235,False,
1061.232,279,235,False,
1077.191,279,235,False,
1093.311,279,235,False,
1109.619,279,235,False,
1125.26,279,235,False,
1141.041,279,235,False,
1156.965,279,235,False,
1172.818,279,235,False,
1184.102,281,237,False,
1200.161,283,240,False,
1215.94,284,241,False,
1231.987,285,242,False,
1252.656,285,242,False,
1268.777,285,242,False,
1284.546,285,242,False,
1300.481,285,242,False,
1316.779,285,242,False,
1332.569,285,242,False,
1348.855,285,242,False,
1364.847,285,242,False,
1380.702,285,242,False,
1396.666,285,242,False,
1412.576,285,242,True,left_down
1429.008,285,242,True,
1444.647,285,242,True,
1460.586,285,242,True,
